"","State","County","Tract","Median_Income_past_12months_Total","Race_Wht","Race_Blk","Race_Lat","Race_Asn","Race_Am_Indn","Race_Isl","Race_Other","Race_Two","Lat_Orgn","NonLat_Orgn","Income_Wht","Income_Blk","Income_NonLat","Income_Lat","Income_Natv","Income_Asn","Income_Isl","Income_Other","Income_TwoRaces","Income_Under10k","Income_10k","Income_20k","Income_30k","Income_40k","Income_50k","Income_60k","Income_70k","Income_80k","Income_90k","Income_100_199k","Income_200_249k","Income_250_499k","Income_500k_up","Income_Imputed","Vacancy_Status","Occupation_16_up","Educational_Attainment_25yrs_up","Employment_Status","Poverty_Status_Past12","Food_Stamps","Total_Housing_Units","Gini_Income_Ineq"
"713","25","025","061200",60027,3243,95,3551,178,0,0,0,35,3551,3470,1817,42,1765,52,0,133,0,0,34,0,0,0,0,0,0,0,0,0,0,7,16,194,194,848,139,307,103,155,66,0,2165,0.4495
"714","25","025","070101",NA,3905,159,5668,1301,7,0,80,216,5668,5172,2011,46,1767,244,0,713,0,0,71,0,0,0,0,0,0,0,0,0,0,0,40,171,171,762,693,261,219,377,24,46,3534,0.6514
"715","25","025","070200",NA,1946,90,5724,3567,0,0,16,105,5724,5530,292,61,271,27,0,1273,0,6,26,0,0,0,0,0,0,0,0,0,0,0,11,9,9,951,35,215,274,398,69,11,1693,0.7044
"716","25","025","070300",55824,3432,73,4350,645,0,0,47,153,4350,4062,1996,61,1888,138,0,296,0,47,61,0,5,0,0,0,0,0,0,0,0,0,12,139,139,932,162,284,256,242,108,20,2623,0.511
"717","25","025","070402",NA,202,165,1700,1259,0,0,62,12,1700,1621,121,68,93,40,0,473,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,64,113,224,171,36,10,750,0.539
"762","25","025","070500",61259,3903,192,5921,961,61,0,371,433,5921,4975,2125,74,2025,426,42,467,0,181,87,19,0,0,0,0,0,0,0,0,0,0,0,267,267,924,173,331,313,410,54,97,3149,0.552
"763","25","025","070600",NA,2060,14,2324,213,0,0,28,9,2324,2263,1159,11,1108,51,0,83,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,108,108,324,98,190,92,158,0,18,1359,0.5006
"764","25","025","070700",43964,1778,882,2966,164,0,0,97,45,2966,2757,873,328,832,73,0,82,0,58,20,9,0,0,0,0,0,0,0,0,0,0,0,106,106,572,30,222,115,126,17,10,1391,0.5489
"765","25","025","070800",NA,2658,658,3722,364,16,0,9,17,3722,3298,1418,357,1207,219,0,253,0,0,12,32,0,0,0,0,0,0,0,0,0,0,0,186,186,778,89,239,180,177,25,73,2129,0.5007
"766","25","025","070900",31273,1586,900,3153,329,0,0,203,135,3153,2537,835,405,752,222,0,127,0,100,72,7,0,0,0,0,0,0,0,0,0,11,0,45,45,671,292,303,261,438,60,74,1831,0.557
"767","25","025","071101",NA,2352,443,4067,639,0,0,517,116,4067,3284,1190,204,1043,301,0,405,0,247,50,0,0,0,0,0,0,0,0,0,0,0,0,216,216,536,130,202,129,130,0,15,2226,0.5919
"768","25","025","071201",19926,1391,809,3398,621,0,0,351,226,3398,2445,656,242,538,382,0,274,0,145,41,0,0,0,0,0,0,13,0,0,0,9,0,31,31,488,123,213,191,237,22,0,1481,0.6645
"769","25","025","080100",13531,636,1511,2814,53,51,0,534,29,2814,2098,160,355,123,180,21,0,0,152,5,5,0,0,0,0,0,0,0,0,0,0,9,11,11,592,93,49,208,77,21,5,786,0.4518
"770","25","025","080300",17468,272,1184,2071,48,18,0,442,107,2071,1419,68,485,27,255,12,10,0,178,48,0,0,0,0,0,0,0,0,0,0,0,0,16,16,549,96,190,195,255,95,47,897,0.5542
"771","25","025","080401",NA,450,1745,2995,35,0,0,607,158,2995,1888,219,760,114,453,0,24,0,265,78,0,0,0,0,0,0,0,0,0,0,0,16,27,27,598,41,157,130,177,65,47,1387,0.5621
"772","25","025","080500",13414,697,1357,3286,67,0,0,944,221,3286,1624,304,604,114,623,0,31,0,361,54,0,0,0,0,0,0,6,0,0,0,0,0,2,2,1006,77,186,160,138,59,20,1431,0.5049
"773","25","025","080601",5556,2110,1366,4540,676,3,0,271,114,4540,3850,194,538,127,227,3,75,0,94,30,0,0,0,0,0,0,0,0,0,0,0,0,38,38,1209,27,540,142,1080,46,27,961,0.542
"774","25","025","080801",8725,1528,1337,4028,476,0,0,468,219,4028,2758,133,390,40,413,0,112,0,199,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358,54,549,247,871,53,58,971,0.4284
"775","25","025","080900",NA,2738,319,3829,652,28,0,47,45,3829,3617,1045,155,1008,65,10,212,0,18,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,845,129,381,182,426,57,9,1578,0.4458
"776","25","025","081001",13825,2003,872,4576,1096,0,0,422,183,4576,3785,1000,384,896,391,0,479,0,214,82,0,0,0,0,0,0,0,0,0,0,0,0,49,49,1228,148,539,339,479,74,17,2307,0.5843
"777","25","025","081100",22257,2417,702,4267,577,21,0,410,140,4267,3501,905,260,781,344,9,246,0,112,96,0,0,0,0,0,0,0,0,0,0,0,54,132,132,1035,81,422,396,373,39,40,1709,0.5403
"778","25","025","081200",16601,858,1238,3425,110,0,0,1066,153,3425,1725,395,425,275,522,0,50,0,313,40,0,0,0,0,0,0,0,0,0,0,0,0,71,71,810,117,279,233,254,52,47,1340,0.5238
"779","25","025","081300",15624,1020,2258,5428,134,11,0,1615,390,5428,3107,398,904,223,1052,11,32,0,651,130,0,0,0,0,0,0,0,0,0,0,0,17,49,49,1139,68,312,219,278,65,24,2194,0.5138
"780","25","025","081400",24308,996,1349,2861,188,0,0,262,66,2861,2496,358,696,324,140,0,55,0,84,47,10,0,0,0,0,0,0,0,0,0,0,0,64,64,676,203,208,109,227,22,33,1443,0.4938
"781","25","025","081500",20534,333,1261,2185,66,0,0,468,57,2185,1512,156,504,125,210,0,27,0,137,26,0,0,0,0,0,0,0,0,0,0,22,12,69,69,574,111,191,97,107,70,26,961,0.5243
"782","25","025","081700",NA,220,2460,3337,126,11,0,250,270,3337,2819,125,1148,70,200,11,39,0,66,101,0,0,0,0,0,0,0,0,0,0,3,9,76,76,634,281,167,217,348,73,29,1771,0.5554
